code,name,scie,lang,grup,regn,tags,enerc,enerc_e,water,water_e,ash,ash_e,vit,vit_e,fatce,fatce_e,cholc,cholc_e,fibtg,fibtg_e,choavldf,choavldf_e,protcnt,protcnt_e,amiac,amiac_e,cartoid,cartoid_e,polyph,polyph_e,phystr,phystr_e,tocph,tocph_e,toctr,toctr_e,orgac,orgac_e,phytac,phytac_e,sapon,sapon_e,mnrleq,mnrleq_e,mnrlet,mnrlet_e,mnrlpet,mnrlpet_e,mnrlnet,mnrlnet_e,mnrltx,mnrltx_e,vita,vita_e,vitb,vitb_e,vitc,vitc_e,vitd,vitd_e,vite,vite_e,vitk,vitk_e,fasat,fasat_e,fauns,fauns_e,faess,faess_e,facis,facis_e,fatrn,fatrn_e,fams,fams_e,fapu,fapu_e,facn3,facn3_e,facn6,facn6_e,facn9,facn9_e,facn5,facn5_e,facn7,facn7_e,fibins,fibins_e,fibsol,fibsol_e,cho,cho_e,starch,starch_e,olsac,olsac_e,fsugar,fsugar_e,amiace,amiace_e,amiacce,amiacce_e,amiacne,amiacne_e,retol,retol_e,thia,thia_e,ribf,ribf_e,nia,nia_e,pantac,pantac_e,vitb6c,vitb6c_e,biot,biot_e,folsum,folsum_e,ergcal,ergcal_e,chocal,chocal_e,doh25,doh25_e,tocpha,tocpha_e,tocphb,tocphb_e,tocphg,tocphg_e,tocphd,tocphd_e,toctra,toctra_e,toctrb,toctrb_e,toctrg,toctrg_e,toctrd,toctrd_e,vitk1,vitk1_e,vitk2,vitk2_e,lutn,lutn_e,zea,zea_e,lycpn,lycpn_e,crypxb,crypxb_e,cartg,cartg_e,carta,carta_e,cartb,cartb_e,al,al_e,as,as_e,cd,cd_e,ca,ca_e,cr,cr_e,co,co_e,cu,cu_e,fe,fe_e,pb,pb_e,li,li_e,mg,mg_e,mn,mn_e,hg,hg_e,mo,mo_e,ni,ni_e,p,p_e,k,k_e,se,se_e,na,na_e,zn,zn_e,frus,frus_e,glus,glus_e,sucs,sucs_e,mals,mals_e,lactose,lactose_e,f4d0,f4d0_e,f6d0,f6d0_e,f8d0,f8d0_e,f10d0,f10d0_e,f12d0,f12d0_e,f14d0,f14d0_e,f16d0,f16d0_e,f18d0,f18d0_e,f20d0,f20d0_e,f22d0,f22d0_e,f24d0,f24d0_e,f14d1cn5,f14d1cn5_e,f16d1cn7,f16d1cn7_e,f18d1cn9,f18d1cn9_e,f18d1tn9,f18d1tn9_e,f20d1cn9,f20d1cn9_e,f22d1cn9,f22d1cn9_e,f24d1cn9,f24d1cn9_e,f18d2cn6,f18d2cn6_e,f20d2n6,f20d2n6_e,f18d3n3,f18d3n3_e,f20d4n6,f20d4n6_e,f11d0,f11d0_e,f15d0,f15d0_e,f20d3n6,f20d3n6_e,f20d5n3,f20d5n3_e,f22d6n3,f22d6n3_e,f22d2n6,f22d2n6_e,f22d5n3,f22d5n3_e,his,his_e,ile,ile_e,leu,leu_e,lys,lys_e,met,met_e,cys,cys_e,phe,phe_e,thr,thr_e,trp,trp_e,val,val_e,ala,ala_e,arg,arg_e,asp,asp_e,glu,glu_e,gly,gly_e,pro,pro_e,ser,ser_e,tyr,tyr_e,oxalt,oxalt_e,oxals,oxals_e,oxali,oxali_e,caconac,caconac_e,citac,citac_e,fumac,fumac_e,malac,malac_e,quinac,quinac_e,sucac,sucac_e,tarac,tarac_e,dhbenzac34,dhbenzac34_e,hbenzal3,hbenzal3_e,pcathac,pcathac_e,vanlac,vanlac_e,gallac,gallac_e,cinmac,cinmac_e,coumaco,coumaco_e,coumacp,coumacp_e,caffac,caffac_e,chlrac,chlrac_e,ferac,ferac_e,apigen,apigen_e,apigen6cgls,apigen6cgls_e,apigen7onshps,apigen7onshps_e,luteol,luteol_e,kaemf,kaemf_e,querce,querce_e,querce3bdgls,querce3bdgls_e,querce3ortns,querce3ortns_e,querce3bgls,querce3bgls_e,isormt,isormt_e,myrct,myrct_e,rsvrtol,rsvrtol_e,hespt,hespt_e,narng,narng_e,hespd,hespd_e,daidzn,daidzn_e,gnstein,gnstein_e,epicatec,epicatec_e,epicategc,epicategc_e,epicatgc3gal,epicatgc3gal_e,catec,catec_e,galcatecgal,galcatecgal_e,galcatec,galcatec_e,syrgac,syrgac_e,sinpac,sinpac_e,ellgac,ellgac_e,rafs,rafs_e,stas,stas_e,vers,vers_e,ajgs,ajgs_e,camt,camt_e,stgstr,stgstr_e,stostrb,stostrb_e,carot,carot_e,xantp,xantp_e,cartbeq,cartbeq_e
"XMIN","Minimum composition of all foods","","","",0,"",0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XMAX","Maximum composition of all foods","","","",0,"",2809,86,95.77,2.78,8.18,0.58,0.32140922,0.03055704,100.01,6.74,1.668,0.0708,47.55,3.04,84.87,2.64,37.8,3.65,36.46188,3.371856,0.101812,0.007172,2.986,0.0277,0.3836,0.00616,0.04922,0.01087,0.01036,0.00016,4.0742,0.82922,1.974,0.0707,88.76,4.5,3.713,0.5461,0.07306875,0.01744046,0.004383,0.000402,0.01384,0.00352,0.01289896,0.00138569,0.017542,0.001836,0.320771,0.023911,0.252,0.0304,0.000118,0.0000051,0.03509,0.00713,0.000574,0.0000373,90.86,4.13,94.28,3.87,76.71,2.17,94.28,3.89,4.68,0.92,67.09,1.88,76.78,2.16,12.956,0.467,76.58,1.94,66.93,1.75,0.95,0.17,2.225,0.436,35.64,2.29,19.92,2.42,84.32,5.71,76.14,5.73,5.05,0.965,84.32,3.22,15.16158,1.566528,19.922544,1.088958,14.03514,1.323576,0.015655,0.000972,0.00098,0.000144,0.00083,0.00012,0.01566,0.0022,0.00932,0.0007,0.316,0.0233,0.002875,0.000305,0.001032,0.0000296,0.000118,0.0000051,0.00000903,6e-7,0.00000798,0.000001,0.03174,0.00684,0.00588,0.00069,0.00962,0.00319,0.0027,0.00023,0.01036,0.00016,0.00112,0.00002,0.00047,0.00009,0.00074,0.00004,0.000574,0.0000373,0.000297,0.00000652,0.01558,0.00376,0.002712,0.000789,0.002843,0.000495,0.001599,0.000203,0.00000937,0.00000116,0.002654,0.000524,0.017542,0.001836,0.01384,0.00352,0.00001101,0.00001033,0.003591,0.000021,1.664,0.329,0.001227,0.000072,0.001501,0.000093,0.00672,0.00199,0.05311,0.01721,0.009301,0.001381,0.004383,0.000402,0.442,0.0693,0.06186,0.00579,0.00001458,0.00000483,0.000839,0.000447,0.005183,0.001461,0.804,0.139,2.374,0.425,0.000206,0.0000476,0.849,0.0384,0.00867,0.00197,26.54,1.92,16.22,2.03,58.23,2.94,0.31,0.18,12.86,1.03,0.22,0.08,0.3,0.13,2.76,0.37,5.18,0.34,49.57,0.81,21.12,0.67,53.1,1.55,13.89,1.17,1.39,0.51,2.66,0.32,1.25,0.13,0.95,0.17,2.225,0.436,53.89,1.75,4.68,0.92,5.45,0.25,51.3,0.96,0.644,0.0336,76.58,1.94,0.301,0.104,12.956,0.467,0.889,0.277,0.0012,0,0.09084,0.01609,0.07414,0.02347,0.925,0.12,1.192,0.286,0.104,0.0281,0.329,0.0464,1.42096,0.19355,1.73502,0.265068,3.07692,0.250428,2.728986,0.256536,1.523914,0.166953,2.982123,0.17808,1.90092,0.308259,1.519,0.46134,0.63504,0.164082,2.09034,0.305664,2.335168,0.24738,16.270848,0.463294,4.3092,0.646848,6.500466,0.548504,2.131922,0.480792,2.922609,0.335101,1.746978,0.316647,1.374676,0.24745,2.472,0.794,1.471,0.619,2.078,0.792,0.44,0.00775,3.49,0.176,0.111,0.04184,0.436,0.113,0.651,0.0405,0.652,0.0738,0.382,0.0759,0.0067,0.00086,0.00044,0.00002,0.0097,0.00117,0.0049,0.00087,0.09312,0.00437,0.00336,0.00115,0.00047,0.00015,0.00742,0.00144,0.01604,0.00116,0.04823,0.00477,0.03633,0.00234,0.01614,0.00342,0.00256,0.00036,0.03049,0.00419,0.0059,0.00096,0.03568,0.00305,0.08633,0.0026,0.01237,0.00095,0.03283,0.00221,0.00436,0.00054,0.01221,0.00186,0.00885,0.00256,0.00182,0.00061,0.03719,0.02106,0.01273,0.00122,0.02413,0.00265,0.03171,0.00194,0.0563,0.00241,0.03805,0.00213,0.00279,0.00062,0.00301,0.00121,0.01663,0.00262,0.00055,0.00012,0.0097,0.0001,0.01097,0.00219,0.06572,0.0017,0.03477,0.00157,4.21,0.741,5,0.565,1.57,0.308,0.06,0.03,0.06385,0.00285,0.04617,0.00238,0.369,0.0051,0.017542,0.001836,0.015815,0.0037794,0.017542,0.001836
"XAVG","Average composition of all foods","","","",0,"",531.675276752768,7.411439114391,66.378210332103,0.321881918819,1.346992619926,0.054114391144,0.045441580498,0.001786161937,6.820830258303,0.167103321033,0.057157675277,0.000985405904,3.881236162362,0.125129151292,10.822177121771,0.28241697417,10.685313653137,0.208819188192,10.379116704797,0.359198186347,0.001322534889,0.00011182928,0.062296531365,0.001389667897,0.023685387454,0.000523708487,0.001070848708,0.000105940959,0.000058653137,0.000004132841,0.221295498155,0.016719538745,0.101828523985,0.00298601476,0.592029520295,0.039778597786,0.6885899631,0.045871660517,0.00511559941,0.000643575972,0.000025867159,0.000001774908,0.000650793358,0.00013,0.000053346827,0.000006094151,0.000504881624,0.000045787768,0.031501549945,0.000470124114,0.012677804428,0.001200129151,0.000005355886,2.6452e-7,0.000720442804,0.000068523985,0.000031545812,0.000001332399,1.928454483395,0.077401291513,4.084778487085,0.131894704797,1.995236402214,0.062700405904,4.076256826568,0.142752177122,0.009446494465,0.001863468635,2.074504686347,0.071975202952,2.010273800738,0.059919501845,0.247640405904,0.014237822878,1.762464667897,0.049977103321,1.982053118081,0.071972675277,0.002050719557,0.000327250923,0.082047915129,0.006237324723,3.040184501845,0.109833948339,0.854040590406,0.079870848708,9.184483394834,0.307306273063,6.712896678967,0.245719557196,0.132546125461,0.019031365314,2.468025830258,0.083966789668,4.409193750923,0.146951557196,2.821761088561,0.09404050738,3.148161865314,0.118206121771,0.000123341494,0.000006584982,0.000106621771,0.000010206642,0.000092553506,0.000007678967,0.001724391144,0.000082749077,0.000816143911,0.000037287823,0.028447607011,0.000324987085,0.000280367196,0.000004970406,0.000033865406,0.000002244114,0.000004832878,2.54723e-7,4.50074e-7,6.605e-9,7.2934e-8,3.192e-9,0.000711199262,0.000064594096,0.000053357934,0.000008154982,0.000273413284,0.000030202952,0.000032878229,0.00000298893,0.000038265683,0.000002490775,0.000005535055,3.50554e-7,0.000005940959,9.04059e-7,0.000008911439,3.87454e-7,0.000027419391,0.000001220701,0.000004126421,1.11697e-7,0.000307164742,0.000040320554,0.000018195424,0.000003349465,0.000021637288,0.000003903137,0.000005545461,7.13173e-7,4.1494e-8,4.576e-9,0.000009908542,0.000001636162,0.000366044631,0.000036848875,0.000650793358,0.00013,5.9048e-7,1.42066e-7,0.000021645756,3.32103e-7,0.070913597786,0.006830719557,0.000015725092,0.000003038745,0.000009756458,0.000001228782,0.000313431734,0.000047675277,0.002745608856,0.00037297048,0.000030828413,0.0000055369,0.000025867159,0.000001774908,0.053817785978,0.005219335793,0.000761900369,0.000098154982,2.82177e-7,8.3081e-8,0.00001797048,0.000005787823,0.000048230627,0.000010876384,0.155343800738,0.009320424354,0.370008265683,0.022572933579,0.000018031144,0.00000181398,0.038506512915,0.001928247232,0.001184944649,0.00010202952,1.026254612546,0.042011070111,0.55979704797,0.031439114391,0.822988929889,0.036143911439,0.003653136531,0.000848708487,0.056051660517,0.002712177122,0.000405904059,0.000147601476,0.000553505535,0.000239852399,0.005959409594,0.001051660517,0.022592841328,0.00125501845,0.178900645756,0.004242343173,0.153351217712,0.010136088561,1.106489335793,0.043110664207,0.389203726937,0.029667841328,0.029211826568,0.003809095941,0.023087564576,0.002236845018,0.013980295203,0.002050313653,0.002050719557,0.000327250923,0.082047915129,0.006237324723,1.82366097786,0.065656660517,0.009446494465,0.001863468635,0.032746826568,0.002678634686,0.12198704797,0.003324926199,0.003658265683,0.000312453875,1.711569151292,0.043806660517,0.004728247232,0.000749391144,0.163575701107,0.009347638376,0.043867177122,0.005162121771,0.000011439114,0,0.002214907749,0.000160092251,0.00187097786,0.000207084871,0.020172084871,0.001227804428,0.056052287823,0.003156180812,0.000429114391,0.000051845018,0.007840332103,0.000506199262,0.380198062731,0.013782265683,0.422405129151,0.017036332103,0.776190909594,0.018097686347,0.68905852583,0.016283725092,0.377521158672,0.012562291513,0.42550998524,0.0115624631,0.590004437269,0.027339854244,0.507943354244,0.016019658672,0.123840125461,0.006893795203,0.54203204797,0.018935948339,0.483470437269,0.021421059041,0.961419872694,0.027794542435,0.913836976015,0.037126964945,1.244438809963,0.040532719557,0.543566933579,0.019496407749,0.477433852399,0.018595780443,0.506415642066,0.019125378229,0.413830444649,0.016591313653,0.079901605166,0.010360295203,0.023037878229,0.002893191882,0.056048634686,0.008533800738,0.002785092251,0.000140221402,0.059689944649,0.001642416974,0.00487298893,0.000508228782,0.028648745387,0.001501383764,0.014982177122,0.000609815498,0.021770774908,0.001118690037,0.008644169742,0.000838487085,0.000102896679,0.000011568266,0.000001734317,1.10701e-7,0.000246346863,0.000027933579,0.000121771218,0.000018892989,0.000335811808,0.000029815498,0.000029317343,0.000008708487,0.000003726937,3.13653e-7,0.000386199262,0.00004204797,0.000466199262,0.000049077491,0.000750571956,0.000082490775,0.000331180812,0.000034520295,0.000286900369,0.000042232472,0.000008782288,0.000001309963,0.000402140221,0.00004204797,0.000166107011,0.000018782288,0.000398339483,0.000033763838,0.000554538745,0.000028099631,0.000269372694,0.000022158672,0.000307859779,0.000028911439,0.000050738007,0.000005350554,0.00011202952,0.000010793358,0.000145608856,0.000018118081,0.000008745387,0.000001678967,0.000132066421,0.000049594096,0.000039409594,0.000003782288,0.000102878229,0.000006771218,0.0001149631,0.000004169742,0.000194630996,0.000004723247,0.000281328413,0.000018653137,0.000023505535,0.000002490775,0.00004302583,0.000003892989,0.000370332103,0.000030516605,0.000001586716,2.95203e-7,0.000019667897,3.50554e-7,0.000106143911,0.000010830258,0.0002000369,0.000007490775,0.000103413284,0.000006365314,0.058450184502,0.009239852399,0.058763837638,0.006922509225,0.015055350554,0.002704797048,0.000276752768,0.000164206642,0.002187416974,0.000063450185,0.002283690037,0.000066715867,0.019214280443,0.000393542435,0.000397631956,0.000042392749,0.000330905627,0.000044383192,0.000381540129,0.000039202786
